22:55:57 0, 47, 28.67, 0 1, 49, 28.16, 0 
22:56:02 0, 47, 28.67, 0 1, 49, 27.92, 0 
22:56:07 0, 47, 28.67, 0 1, 49, 28.41, 0 
22:56:12 0, 47, 28.91, 0 1, 49, 28.16, 0 
22:56:17 0, 48, 35.63, 0 1, 50, 34.39, 0 
22:56:22 0, 47, 35.63, 0 1, 49, 34.15, 0 
22:56:27 0, 47, 35.63, 0 1, 49, 34.39, 0 
22:56:32 0, 47, 35.39, 0 1, 49, 34.39, 0 
22:56:37 0, 48, 35.63, 0 1, 49, 34.39, 0 
22:56:42 0, 47, 35.63, 0 1, 50, 34.39, 0 
22:56:47 0, 47, 35.63, 0 1, 49, 34.15, 0 
22:56:52 0, 47, 35.63, 0 1, 49, 34.39, 0 
22:56:57 0, 48, 35.63, 0 1, 50, 34.39, 0 
22:57:02 0, 47, 35.39, 0 1, 49, 34.39, 0 
22:57:07 0, 47, 35.63, 0 1, 49, 34.15, 0 
22:57:12 0, 47, 35.39, 0 1, 49, 34.15, 0 
22:57:17 0, 47, 35.63, 0 1, 49, 34.39, 0 
22:57:22 0, 47, 35.39, 0 1, 49, 34.39, 0 
22:57:28 0, 47, 35.39, 0 1, 49, 34.15, 0 
22:57:33 0, 48, 35.63, 0 1, 49, 34.39, 0 
22:57:38 0, 48, 35.63, 0 1, 49, 34.39, 0 
22:57:43 0, 47, 35.63, 0 1, 49, 34.39, 0 
22:57:48 0, 47, 35.63, 0 1, 49, 34.39, 0 
22:57:53 0, 48, 35.39, 0 1, 50, 34.39, 0 
22:57:58 0, 47, 35.63, 0 1, 49, 34.39, 0 
22:58:03 0, 47, 35.63, 0 1, 49, 34.15, 0 
22:58:08 0, 48, 35.63, 0 1, 49, 34.39, 0 
22:58:13 0, 48, 35.63, 0 1, 50, 34.39, 0 
22:58:18 0, 47, 35.63, 0 1, 49, 34.39, 0 
22:58:23 0, 48, 35.63, 0 1, 49, 34.39, 0 
22:58:28 0, 48, 35.87, 0 1, 50, 34.39, 0 
22:58:33 0, 48, 35.63, 0 1, 49, 34.39, 0 
22:58:45 0, 48, 35.63, 0 1, 50, 34.39, 0 
22:58:50 0, 48, 35.87, 0 1, 49, 34.39, 0 
22:58:56 0, 47, 35.63, 0 1, 49, 34.15, 0 
22:59:01 0, 47, 35.63, 0 1, 49, 34.39, 0 
