3.19.050.405 I slot print_timing: id  3 | task 409 | prompt processing, n_tokens =  14183, progress = 1.00, t =  73.47 s / 193.03 tokens per second
3.32.454.261 I slot print_timing: id  3 | task 409 | n_gen =    100, tg =  10.42 t/s, tg_3s =  10.53 t/s
3.35.521.955 I slot print_timing: id  3 | task 409 | n_gen =    132, tg =  10.42 t/s, tg_3s =  10.43 t/s
3.38.598.942 I slot print_timing: id  3 | task 409 | n_gen =    164, tg =  10.42 t/s, tg_3s =  10.40 t/s
3.41.676.280 I slot print_timing: id  3 | task 409 | n_gen =    196, tg =  10.42 t/s, tg_3s =  10.40 t/s
3.44.755.328 I slot print_timing: id  3 | task 409 | n_gen =    228, tg =  10.41 t/s, tg_3s =  10.39 t/s
3.47.834.366 I slot print_timing: id  3 | task 409 | n_gen =    260, tg =  10.41 t/s, tg_3s =  10.39 t/s
3.50.905.563 I slot print_timing: id  3 | task 409 | n_gen =    292, tg =  10.41 t/s, tg_3s =  10.42 t/s
3.53.982.662 I slot print_timing: id  3 | task 409 | n_gen =    324, tg =  10.41 t/s, tg_3s =  10.40 t/s
3.57.055.750 I slot print_timing: id  3 | task 409 | n_gen =    356, tg =  10.41 t/s, tg_3s =  10.41 t/s
4.00.134.843 I slot print_timing: id  3 | task 409 | n_gen =    388, tg =  10.41 t/s, tg_3s =  10.39 t/s
4.01.288.413 I slot print_timing: id  3 | task 409 | prompt eval time =   77379.33 ms / 14187 tokens (    5.45 ms per token,   183.34 tokens per second)
4.01.288.419 I slot print_timing: id  3 | task 409 |        eval time =   38332.58 ms /   400 tokens (   96.07 ms per token,    10.41 tokens per second)
4.01.288.420 I slot print_timing: id  3 | task 409 |       total time =  115711.91 ms / 14587 tokens
4.01.288.421 I slot print_timing: id  3 | task 409 |    graphs reused =        795
4.01.289.309 I slot      release: id  3 | task 409 | stop processing: n_tokens = 14586, truncated = 0
4.01.326.468 I srv    operator(): operator(): cleaning up before exit...
