2.52.153.329 I slot print_timing: id  3 | task 410 | prompt processing, n_tokens =  14183, progress = 1.00, t =  70.33 s / 201.65 tokens per second
2.58.126.625 I slot print_timing: id  3 | task 410 | n_gen =    100, tg =  19.68 t/s, tg_3s =  19.88 t/s
3.01.144.355 I slot print_timing: id  3 | task 410 | n_gen =    159, tg =  19.63 t/s, tg_3s =  19.55 t/s
3.04.174.814 I slot print_timing: id  3 | task 410 | n_gen =    219, tg =  19.68 t/s, tg_3s =  19.80 t/s
3.07.203.804 I slot print_timing: id  3 | task 410 | n_gen =    279, tg =  19.71 t/s, tg_3s =  19.81 t/s
3.10.236.224 I slot print_timing: id  3 | task 410 | n_gen =    339, tg =  19.72 t/s, tg_3s =  19.79 t/s
3.13.263.118 I slot print_timing: id  3 | task 410 | n_gen =    399, tg =  19.74 t/s, tg_3s =  19.82 t/s
3.13.313.659 I slot print_timing: id  3 | task 410 | prompt eval time =   71276.29 ms / 14187 tokens (    5.02 ms per token,   199.04 tokens per second)
3.13.313.666 I slot print_timing: id  3 | task 410 |        eval time =   20217.65 ms /   400 tokens (   50.67 ms per token,    19.74 tokens per second)
3.13.313.668 I slot print_timing: id  3 | task 410 |       total time =   91493.94 ms / 14587 tokens
3.13.313.669 I slot print_timing: id  3 | task 410 |    graphs reused =        795
3.13.314.475 I slot      release: id  3 | task 410 | stop processing: n_tokens = 14586, truncated = 0
3.13.475.505 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
3.13.475.619 I slot launch_slot_: id  3 | task 820 | processing task, is_child = 0
3.23.215.811 I slot print_timing: id  3 | task 820 | prompt processing, n_tokens =   2090, progress = 0.15, t =   9.74 s / 214.58 tokens per second
3.33.120.266 I slot print_timing: id  3 | task 820 | prompt processing, n_tokens =   4138, progress = 0.29, t =  19.64 s / 210.64 tokens per second
3.43.177.200 I slot print_timing: id  3 | task 820 | prompt processing, n_tokens =   6186, progress = 0.44, t =  29.70 s / 208.27 tokens per second
3.53.367.206 I slot print_timing: id  3 | task 820 | prompt processing, n_tokens =   8234, progress = 0.58, t =  39.89 s / 206.41 tokens per second
4.03.708.589 I slot print_timing: id  3 | task 820 | prompt processing, n_tokens =  10282, progress = 0.72, t =  50.23 s / 204.69 tokens per second
4.14.220.714 I slot print_timing: id  3 | task 820 | prompt processing, n_tokens =  12330, progress = 0.87, t =  60.74 s / 202.98 tokens per second
4.21.377.906 I slot print_timing: id  3 | task 820 | prompt processing, n_tokens =  13671, progress = 0.96, t =  67.90 s / 201.33 tokens per second
4.23.772.084 I slot print_timing: id  3 | task 820 | prompt processing, n_tokens =  14183, progress = 1.00, t =  70.30 s / 201.76 tokens per second
4.29.747.838 I slot print_timing: id  3 | task 820 | n_gen =    100, tg =  19.67 t/s, tg_3s =  19.87 t/s
4.32.762.623 I slot print_timing: id  3 | task 820 | n_gen =    159, tg =  19.64 t/s, tg_3s =  19.57 t/s
4.35.790.589 I slot print_timing: id  3 | task 820 | n_gen =    219, tg =  19.68 t/s, tg_3s =  19.82 t/s
4.38.817.054 I slot print_timing: id  3 | task 820 | n_gen =    279, tg =  19.71 t/s, tg_3s =  19.83 t/s
4.41.847.568 I slot print_timing: id  3 | task 820 | n_gen =    339, tg =  19.73 t/s, tg_3s =  19.80 t/s
4.44.880.609 I slot print_timing: id  3 | task 820 | n_gen =    399, tg =  19.74 t/s, tg_3s =  19.78 t/s
4.44.931.483 I slot print_timing: id  3 | task 820 | prompt eval time =   71239.96 ms / 14187 tokens (    5.02 ms per token,   199.14 tokens per second)
4.44.931.488 I slot print_timing: id  3 | task 820 |        eval time =   20215.71 ms /   400 tokens (   50.67 ms per token,    19.74 tokens per second)
4.44.931.489 I slot print_timing: id  3 | task 820 |       total time =   91455.68 ms / 14587 tokens
4.44.931.490 I slot print_timing: id  3 | task 820 |    graphs reused =       1192
4.44.932.291 I slot      release: id  3 | task 820 | stop processing: n_tokens = 14586, truncated = 0
4.44.969.198 I srv    operator(): operator(): cleaning up before exit...
