label,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
phase1-pflash-layer-q6k,"e05ff58b7","9110","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-Q6_K_M.gguf","qwen35 27B Q6_K","23077412864","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-08-20T22:46:02Z","10867072755","9611950","188.459313","0.166617"
phase1-pflash-layer-q6k,"e05ff58b7","9110","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-Q6_K_M.gguf","qwen35 27B Q6_K","23077412864","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","4096","0","0","2026-08-20T22:46:47Z","20780176753","15776856","197.111007","0.149683"
phase1-pflash-layer-q6k,"e05ff58b7","9110","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-Q6_K_M.gguf","qwen35 27B Q6_K","23077412864","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","8192","0","0","2026-08-20T22:48:10Z","41329138031","24023399","198.213712","0.115173"
phase1-pflash-layer-q6k,"e05ff58b7","9110","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-Q6_K_M.gguf","qwen35 27B Q6_K","23077412864","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","16384","0","0","2026-08-20T22:50:55Z","84724229382","47962353","193.380378","0.109495"
phase1-pflash-layer-q6k,"e05ff58b7","9110","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-Q6_K_M.gguf","qwen35 27B Q6_K","23077412864","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-08-20T22:56:34Z","13538751328","963091","9.454343","0.000668"
