build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"57affa09","1183","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-IQ3_S.gguf","qwen35 27B IQ3_S - 3.4375 bpw","12029886464","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","none","0","0","1","CUDA0","0.00","none","auto","0","0","0","0","0","4096","0","0","2026-08-27T09:24:19Z","30954606456","15741024","132.322811","0.067280"
"57affa09","1183","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-IQ3_S.gguf","qwen35 27B IQ3_S - 3.4375 bpw","12029886464","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","none","0","0","1","CUDA0","0.00","none","auto","0","0","0","0","0","16384","0","0","2026-08-27T09:25:53Z","130084947647","38172167","125.948474","0.036955"
"57affa09","1183","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-IQ3_S.gguf","qwen35 27B IQ3_S - 3.4375 bpw","12029886464","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","none","0","0","1","CUDA0","0.00","none","auto","0","0","0","0","0","0","128","0","2026-08-27T09:32:23Z","11219770481","3080351","11.408433","0.003128"
"57affa09","1183","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-IQ3_S.gguf","qwen35 27B IQ3_S - 3.4375 bpw","12029886464","27320697856","2048","2048","8","0x0","0","50","f16","f16","99","0","none","0","0","1","CUDA0","0.00","none","auto","0","0","0","0","0","4096","0","0","2026-08-27T09:32:46Z","20382170193","11205010","200.959985","0.110477"
"57affa09","1183","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-IQ3_S.gguf","qwen35 27B IQ3_S - 3.4375 bpw","12029886464","27320697856","2048","2048","8","0x0","0","50","f16","f16","99","0","none","0","0","1","CUDA0","0.00","none","auto","0","0","0","0","0","16384","0","0","2026-08-27T09:33:47Z","89142511712","19945062","183.795589","0.041114"
"57affa09","1183","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-IQ3_S.gguf","qwen35 27B IQ3_S - 3.4375 bpw","12029886464","27320697856","2048","2048","8","0x0","0","50","f16","f16","99","0","none","0","0","1","CUDA0","0.00","none","auto","0","0","0","0","0","0","128","0","2026-08-27T09:38:15Z","11249373468","9695320","11.378416","0.009807"
