build_commit,build_number,cuda,vulkan,metal,sycl,rpc,gpu_blas,blas,cpu_info,gpu_info,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,type_k,type_v,n_gpu_layers,split_mode,main_gpu,no_kv_offload,flash_attn,mla_attn,attn_max_batch,ser,reuse,tensor_split,use_mmap,embeddings,repack,mqkv,muge,defer_experts,fused_moe,grouped_er,no_fused_up_gate,use_thp,no_ooae,rcache,sas,max_gpu,cuda_params,override_tensor,n_prompt,n_gen,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts,test
"8337e4c","50","1","0","0","0","0","1","0","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB/Tesla P100-PCIE-16GB","/root/Qwen3.8-27B-UD-Q4_K_M.gguf","qwen35 27B Q4_K - Medium","16102434816","26895998464","2048","512","8","f16","f16","99","layer","0","0","1","3","0","-1,0","1","0.00","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","2048","0","2026-08-25T08:48:24Z","17580775945","19254006","116.490970","0.127501","pp2048"
"8337e4c","50","1","0","0","0","0","1","0","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB/Tesla P100-PCIE-16GB","/root/Qwen3.8-27B-UD-Q4_K_M.gguf","qwen35 27B Q4_K - Medium","16102434816","26895998464","2048","512","8","f16","f16","99","layer","0","0","1","3","0","-1,0","1","0.00","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","4096","0","2026-08-25T08:49:17Z","37404809343","20013941","109.504656","0.058607","pp4096"
"8337e4c","50","1","0","0","0","0","1","0","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB/Tesla P100-PCIE-16GB","/root/Qwen3.8-27B-UD-Q4_K_M.gguf","qwen35 27B Q4_K - Medium","16102434816","26895998464","2048","512","8","f16","f16","99","layer","0","0","1","3","0","-1,0","1","0.00","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","8192","0","2026-08-25T08:51:09Z","84464075038","78112488","96.988035","0.089652","pp8192"
"8337e4c","50","1","0","0","0","0","1","0","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB/Tesla P100-PCIE-16GB","/root/Qwen3.8-27B-UD-Q4_K_M.gguf","qwen35 27B Q4_K - Medium","16102434816","26895998464","2048","512","8","f16","f16","99","layer","0","0","1","3","0","-1,0","1","0.00","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","16384","0","2026-08-25T08:55:23Z","204606651193","249073278","80.075677","0.097418","pp16384"
"8337e4c","50","1","0","0","0","0","1","0","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB/Tesla P100-PCIE-16GB","/root/Qwen3.8-27B-UD-Q4_K_M.gguf","qwen35 27B Q4_K - Medium","16102434816","26895998464","2048","512","8","f16","f16","99","layer","0","0","1","3","0","-1,0","1","0.00","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","0","128","2026-08-25T09:05:37Z","9452898459","526717","13.540820","0.000728","tg128"
