build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"57affa09","1183","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-IQ3_S.gguf","qwen35 27B IQ3_S - 3.4375 bpw","12029886464","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","CUDA0","0.00","none","auto","0","0","0","0","0","4096","0","0","2026-08-27T09:38:56Z","31138832697","25561166","131.539978","0.107978"
"57affa09","1183","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-IQ3_S.gguf","qwen35 27B IQ3_S - 3.4375 bpw","12029886464","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","CUDA0","0.00","none","auto","0","0","0","0","0","16384","0","0","2026-08-27T09:40:30Z","130617376521","34619832","125.435076","0.033246"
"57affa09","1183","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-IQ3_S.gguf","qwen35 27B IQ3_S - 3.4375 bpw","12029886464","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","CUDA0","0.00","none","auto","0","0","0","0","0","0","128","0","2026-08-27T09:47:01Z","11249433057","11279751","11.378357","0.011409"
"57affa09","1183","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","Tesla P100-PCIE-16GB, Tesla P100-PCIE-16GB","CUDA","/root/Qwen3.8-27B-UD-IQ3_S.gguf","qwen35 27B IQ3_S - 3.4375 bpw","12029886464","27320697856","2048","2048","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","CUDA0","0.00","none","auto","0","0","0","0","0","4096","0","0","2026-08-27T09:47:24Z","20471901287","14866090","200.079173","0.145278"
